"Cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"Musc.Skel.24h.1"	"GO:0032103"	"positive regulation of response to external stimulus"	"37/833"	"261/16992"	5.7831453447222e-09	8.21041406226417e-07	6.44233694942888e-07	"654/728/6346/6363/6347/6366/6351/729230/1236/4064/1268/1435/10563/3576/4283/23604/1906/2621/51738/3315/51561/90865/3569/4023/23643/64127/5294/7941/5743/6279/6280/5054/7056/51284/7124/8995/7422"	37
"E.Corn.6h.1"	"GO:0001819"	"positive regulation of cytokine production"	"10/133"	"391/16992"	0.00101688830631974	0.0276500670006523	0.0219992068934091	"1051/3553/9173/5603/5724/6397/8482/7057/7099/117854"	10
"E.Pr.24h.1"	"GO:0001819"	"positive regulation of cytokine production"	"36/922"	"391/16992"	0.00138559541044369	0.0291905958680175	0.0241037562556811	"6347/7124/4155/28984/8288/5054/3162/942/27035/126259/4050/5914/4602/3113/22861/23705/8710/1236/51704/6376/283234/7292/1051/84632/10125/81030/59067/55612/7855/150/3115/3952/50943/834/57162/947"	36
"E.Pr.24h.2"	"GO:0001819"	"positive regulation of cytokine production"	"43/842"	"391/16992"	8.30970835967011e-07	0.00025869160837198	0.000214685689002793	"3569/6347/9698/7057/51561/3303/101/5054/5743/2033/161882/602/4050/1654/1649/29126/247/27035/260434/6288/23213/6376/4615/5734/3552/719/57493/29108/6711/6188/929/84433/2149/79679/63940/5603/3965/9173/1545/4179/2150/3620/136"	43
"E.Pr.24h.3"	"GO:0001819"	"positive regulation of cytokine production"	"18/302"	"391/16992"	0.000232999903040529	0.0305681177898273	0.0263538618408538	"22900/6347/1385/1545/23586/55601/5610/9451/2149/3146/3148/3572/5603/23369/28984/6095/5054/6850"	18
"E.Pr.6h.1"	"GO:0001819"	"positive regulation of cytokine production"	"13/198"	"391/16992"	0.000692379573086777	0.0104948525380045	0.00743593993855643	"602/29126/1545/2149/3091/3569/3670/5603/28984/5054/4088/7057/117854"	13
"F.F.36h.1"	"GO:0001819"	"positive regulation of cytokine production"	"50/931"	"391/16992"	1.98551052303775e-08	3.11455717421159e-06	2.50478648215574e-06	"101/9447/329/330/727/84433/6363/6347/6348/1236/10666/29126/965/941/9308/942/1051/1536/1649/3113/3148/3315/3329/55540/8809/90865/3569/3394/3735/100528032/4049/5603/11315/5441/84265/10631/26191/10125/4088/6850/7096/7098/7099/51284/340061/7124/943/10626/7105/26137"	50
"F.F.8h.1"	"GO:0001819"	"positive regulation of cytokine production"	"33/423"	"391/16992"	9.926690435331e-10	8.12298966261341e-08	6.29394414835881e-08	"9447/330/834/6348/1236/10666/29126/958/965/941/9308/942/1536/1545/3113/3115/3148/3428/55540/8809/3659/3394/3735/4049/5603/5441/26191/10125/6850/7096/10333/51284/7124"	33
"L.B.36h.1"	"GO:0001819"	"positive regulation of cytokine production"	"10/119"	"391/16992"	0.000425627819377194	0.038813220573521	0.034386565559293	"9181/29126/942/55601/55540/3735/9261/11315/7057/7292"	10
"L.B.36h.4"	"GO:0001819"	"positive regulation of cytokine production"	"26/379"	"391/16992"	7.68938092364785e-07	0.000392158427106041	0.000364233833225425	"84632/9447/330/10666/29126/958/965/941/942/1147/23586/55601/170506/5610/3091/3115/55540/3735/23643/9261/11315/10464/8780/55959/29110/7292"	26
"L.Pbmc.24h.1"	"GO:0001819"	"positive regulation of cytokine production"	"21/264"	"391/16992"	8.67847878389178e-07	5.06054902201689e-05	3.93863661805615e-05	"3620/51311/2219/3315/1536/1436/29108/136/3965/838/23643/920/929/5724/3115/972/64127/6363/3113/948/10148"	21
"L.Pbmc.24h.2"	"GO:0001819"	"positive regulation of cytokine production"	"22/302"	"391/16992"	2.07609058086672e-06	0.000121678371387985	8.75167789269968e-05	"10333/3620/51311/2219/3315/1436/1051/3569/3965/23643/920/929/5724/3115/5603/972/64127/6363/3113/958/948/10148"	22
"L.Pbmc.2M.1"	"GO:0001819"	"positive regulation of cytokine production"	"7/69"	"391/16992"	0.00102435369481926	0.0229128824469818	0.0184430627221375	"3569/114548/3606/3586/301/1385/27297"	7
"L.Pbmc.6h.1"	"GO:0001819"	"positive regulation of cytokine production"	"12/90"	"391/16992"	1.01250008040013e-06	8.59125068221003e-05	6.08289521986982e-05	"51311/1051/29108/3569/114548/838/929/5724/5603/5027/64127/948"	12
"L.Pbmc.8h.1"	"GO:0001819"	"positive regulation of cytokine production"	"21/196"	"391/16992"	5.19720573890118e-09	1.47695137634592e-06	1.0906671947761e-06	"91543/51311/3552/55959/57162/3091/7057/29108/3569/136/101/64170/942/838/929/6556/5603/5027/64127/948/965"	21
"L.Pbmc.8h.2"	"GO:0001819"	"positive regulation of cytokine production"	"18/220"	"391/16992"	3.54699735586977e-06	0.000188627737486886	0.000136859423262796	"51311/3552/57162/3091/7057/1051/29108/3569/136/101/929/6556/5603/5027/64127/948/965/3665"	18
"L.T.10d.1"	"GO:0001819"	"positive regulation of cytokine production"	"25/295"	"391/16992"	2.24715779580234e-08	5.20357477090478e-06	3.93104774936738e-06	"301/10666/51744/29126/940/959/941/942/1545/2207/2625/115362/3113/10855/3458/3595/55801/3565/3569/3717/4063/28984/4088/55959/7057"	25
"M.APC.12h.1"	"GO:0001819"	"positive regulation of cytokine production"	"50/1114"	"391/16992"	4.31693473590186e-06	0.000752623319411908	0.000648109054762311	"55122/708/719/728/84433/6347/1236/958/941/942/1387/1536/1545/2205/2219/2268/115362/3091/3113/3146/3329/3428/23765/3569/3665/3717/3965/4023/4050/10892/5603/64127/10464/25865/26191/23369/28984/54941/6095/861/8482/5054/4088/6711/6777/7098/51311/7124/22954/117854"	50
"M.APC.12h.2"	"GO:0001819"	"positive regulation of cytokine production"	"34/606"	"391/16992"	1.64943919536402e-06	0.000320472290332602	0.00025616948205193	"9181/708/728/10666/29126/80381/958/941/942/2205/2207/10211/3113/3148/3329/3428/23765/3569/3665/3965/5603/64127/5590/26191/5914/54941/8482/6711/55959/7099/10333/51311/7124/26137"	34
"M.APC.18h.1"	"GO:0001819"	"positive regulation of cytokine production"	"29/674"	"391/16992"	0.000955144176891333	0.0238169822173226	0.0205839786395144	"10159/708/6347/10666/29126/920/1385/2219/3113/10855/3315/3329/3428/3717/3965/4023/10892/5603/22861/64127/9533/28984/54941/5054/6711/7057/7096/51284/51311"	29
"M.APC.24h.10"	"GO:0001819"	"positive regulation of cytokine production"	"14/107"	"391/16992"	1.61485724202789e-07	8.46041975096642e-05	6.99265462232086e-05	"10333/51311/28984/3304/57162/29108/942/838/5724/3115/5027/6363/958/3303"	14
"M.APC.24h.2"	"GO:0001819"	"positive regulation of cytokine production"	"25/390"	"391/16992"	4.2360559595058e-06	0.000376444172934749	0.000302023358235642	"728/6347/929/10666/51744/29126/942/1051/26253/23601/2069/3553/3735/5603/4321/5743/6556/4088/6711/55959/6850/55773/7097/7099/51284"	25
"M.APC.24h.3"	"GO:0001819"	"positive regulation of cytokine production"	"50/955"	"391/16992"	4.45505613924941e-08	6.04322344943048e-06	4.93668382997908e-06	"6868/330/708/719/728/6348/1236/929/51744/80381/920/958/941/9308/1051/23601/1649/2205/2867/10211/3115/10855/3329/3428/3586/3569/3570/3659/3394/3965/10892/5603/4321/64127/5734/26191/10125/54941/8482/6556/4088/6711/7057/7099/51284/51311/7124/8764/22954/26137"	50
"M.APC.24h.5"	"GO:0001819"	"positive regulation of cytokine production"	"44/833"	"391/16992"	2.42861652571678e-07	1.85658392558257e-05	1.45677661720728e-05	"301/602/330/728/6363/6347/729230/1236/51744/29126/941/1536/1649/2069/2149/10211/3315/51561/90865/3569/4023/23643/4790/64127/24145/5724/5743/26191/10125/54941/5054/6711/6714/55959/148022/7096/10333/51284/51311/340061/7124/22954/7494/26137"	44
"M.APC.24h.6"	"GO:0001819"	"positive regulation of cytokine production"	"24/447"	"391/16992"	0.00011420553896803	0.00876865769594572	0.00725710615649327	"9181/602/929/51744/948/965/942/2268/9466/3566/3663/3965/4023/23643/5603/4155/91662/64127/5027/171568/5724/55959/6850/340061"	24
"M.APC.24h.8"	"GO:0001819"	"positive regulation of cytokine production"	"11/70"	"391/16992"	5.33005168168709e-07	0.0011209098686588	0.000813534204046977	"10333/51311/3304/55959/101/7124/140706/958/10855/3303/10148"	11
"M.APC.24h.9"	"GO:0001819"	"positive regulation of cytokine production"	"12/152"	"391/16992"	0.000209518021308038	0.0157692996310791	0.0134861497664323	"28984/3315/51284/920/972/6556/3115/5603/64127/1958/3113/948"	12
"M.APC.4h.1"	"GO:0001819"	"positive regulation of cytokine production"	"17/216"	"391/16992"	1.10558131245245e-05	0.00177777475042355	0.00147275068516693	"330/708/84433/729230/929/29126/958/2867/3586/3394/3965/5603/64127/9533/6711/55959/7057"	17
"M.APC.5d.1"	"GO:0001819"	"positive regulation of cytokine production"	"34/625"	"391/16992"	3.25242024321205e-06	0.000488072870045886	0.000401996933286651	"9447/9181/708/728/10666/29126/80381/920/958/941/942/2205/2207/10211/3113/3148/3329/3428/23765/3569/3665/3965/5603/64127/26191/54941/8482/6711/55959/7099/10333/51311/7124/26137"	34
"M.Neutr.36h.1"	"GO:0001819"	"positive regulation of cytokine production"	"17/315"	"391/16992"	0.00105341988274293	0.0313829316321318	0.0266647924922927	"566/719/929/29126/1051/23601/1536/2867/3091/10855/3566/3735/4282/64127/55959/7099/7124"	17
"M.Neutr.72h.1"	"GO:0001819"	"positive regulation of cytokine production"	"97/1988"	"391/16992"	2.56454836940546e-13	1.58916513957491e-10	1.2702762975944e-10	"6868/55122/9181/566/8915/602/329/330/708/719/728/22900/834/6347/6348/929/29126/965/941/9308/942/1051/26253/23601/93978/1436/1536/1545/2033/51571/2207/2219/2867/2268/10211/3091/3133/3135/3162/10855/3329/3428/3454/23765/8809/3552/3553/51561/3566/3572/3717/3735/3965/4023/23643/10892/9261/4282/4361/4615/91662/64127/24145/57162/10464/9533/5437/51728/5724/5734/5743/26191/29108/28984/8780/8737/54941/91543/6397/6556/6647/55959/6850/29110/7057/7096/7097/7099/10333/51311/340061/7124/8764/10626/26137/56829/7784"	97
"Musc.Skel.24h.1"	"GO:0001819"	"positive regulation of cytokine production"	"44/833"	"391/16992"	2.42861652571678e-07	1.85658392558257e-05	1.45677661720728e-05	"301/602/330/728/6363/6347/729230/1236/51744/29126/941/1536/1649/2069/2149/10211/3315/51561/90865/3569/4023/23643/4790/64127/24145/5724/5743/26191/10125/54941/5054/6711/6714/55959/148022/7096/10333/51284/51311/340061/7124/22954/7494/26137"	44
"E.Corn.6h.1"	"GO:0002237"	"response to molecule of bacterial origin"	"11/133"	"319/16992"	4.23847298953e-05	0.00463858483974163	0.0036905945862518	"19/654/1051/11221/2353/3553/5724/9536/7056/7099/117854"	11
"E.Pr.24h.1"	"GO:0002237"	"response to molecule of bacterial origin"	"38/922"	"319/16992"	4.45827266730325e-06	0.000773125973926484	0.000638398753993151	"6347/7124/1234/4982/841/1906/133/654/2706/5054/942/4846/4129/5914/245928/5106/939/27242/1236/84957/5599/2353/7292/1051/5179/10221/5578/7056/623/100133941/7855/4851/4435/10014/834/3576/57162/19"	38
"E.Pr.24h.2"	"GO:0002237"	"response to molecule of bacterial origin"	"29/842"	"319/16992"	0.00123810151486676	0.0295001015728998	0.0244818518532058	"3569/6347/4982/1906/5054/3725/654/5743/27063/79931/2920/27242/2353/6374/5734/1267/29108/133/929/2149/8754/7056/11221/9536/4129/7035/3965/3620/6372"	29
"E.Pr.24h.3"	"GO:0002237"	"response to molecule of bacterial origin"	"17/302"	"319/16992"	6.02806804247336e-05	0.0125596570626121	0.010828127177223	"19/6347/129607/1906/55914/2149/2353/27086/2706/10804/55970/3148/57088/5054/6590/7056/7079"	17
"E.Pr.48h.1"	"GO:0002237"	"response to molecule of bacterial origin"	"14/183"	"319/16992"	9.57055950755498e-06	0.00135030822519229	0.00114239689355605	"19/6347/129607/1543/1906/2149/2353/2706/10804/55970/3595/3569/57088/7056"	14
"E.Pr.6h.1"	"GO:0002237"	"response to molecule of bacterial origin"	"13/198"	"319/16992"	9.72457107911702e-05	0.00277315098993464	0.00196486650260482	"19/133/1543/1906/2149/2353/3569/3656/57088/5054/7056/117854/7538"	13
"F.F.36h.1"	"GO:0002237"	"response to molecule of bacterial origin"	"39/931"	"319/16992"	2.23344361910265e-06	0.000140019734582205	0.000112606550080533	"133/57379/27063/6347/6348/6352/1236/939/941/942/1051/2920/3576/2353/2643/2697/3148/3329/3383/3569/3394/3725/3726/100528032/10859/4049/9450/4067/4208/5578/10594/5732/26191/7096/7099/7124/27242/943/7538"	39
"F.F.8h.1"	"GO:0002237"	"response to molecule of bacterial origin"	"28/423"	"319/16992"	8.15519902825754e-09	4.90076491604351e-07	3.79726454753242e-07	"57379/27063/834/6348/1236/939/958/941/942/2353/2643/3148/3383/3394/3725/3726/10859/4049/9450/4067/4208/26191/26228/7096/10333/7124/27242/7538"	28
"L.Pbmc.24h.1"	"GO:0002237"	"response to molecule of bacterial origin"	"18/264"	"319/16992"	2.6939885264419e-06	0.000133090516507692	0.000103584646557634	"3620/1906/29108/133/23328/9536/3965/23643/57817/6279/929/5724/654/7056/64127/11009/948/10062"	18
"L.Pbmc.24h.2"	"GO:0002237"	"response to molecule of bacterial origin"	"24/302"	"319/16992"	2.93302558389111e-09	4.40071158607023e-07	3.16519771432123e-07	"10333/3620/5106/1906/1051/3569/79931/133/23328/9536/3965/23643/57817/929/1594/4283/5724/654/7056/64127/958/948/3627/10062"	24
"L.Pbmc.6h.1"	"GO:0002237"	"response to molecule of bacterial origin"	"13/90"	"319/16992"	1.26670054117947e-08	1.93467395989478e-06	1.36981440979479e-06	"1906/1051/29108/3569/114548/23328/57817/929/5724/5027/7056/64127/948"	13
"L.Pbmc.8h.1"	"GO:0002237"	"response to molecule of bacterial origin"	"23/196"	"319/16992"	2.52314197489803e-12	7.88734181353124e-09	5.82447405363303e-09	"639/11213/4055/57162/1906/29108/3569/133/64170/23328/9536/942/57817/929/6556/3656/654/5027/7056/64127/7133/948/3627"	23
"L.Pbmc.8h.2"	"GO:0002237"	"response to molecule of bacterial origin"	"24/220"	"319/16992"	4.07794710651138e-12	5.17649513414822e-09	3.75582164119129e-09	"639/11213/57162/2920/1906/1051/29108/3569/7035/133/23328/9536/57817/929/6556/4283/3656/654/5027/7056/64127/7133/948/3627"	24
"L.T.10d.1"	"GO:0002237"	"response to molecule of bacterial origin"	"17/295"	"319/16992"	4.50319065715503e-05	0.00194003737032086	0.00146560391155144	"19/133/6352/941/942/10225/3576/2706/3458/3595/3569/3656/3717/3725/6622/7293/85363"	17
"M.APC.12h.1"	"GO:0002237"	"response to molecule of bacterial origin"	"42/1114"	"319/16992"	1.22076242439088e-05	0.00143966732276461	0.00123974557213859	"19/29/133/55122/728/836/842/6347/6352/1236/4064/958/941/942/129607/64506/10563/3576/1906/2353/27086/2706/3248/3329/3569/11213/3717/3965/10892/64127/4851/5106/5467/5732/26191/5054/7035/7056/7124/27242/117854/7412"	42
"M.APC.12h.2"	"GO:0002237"	"response to molecule of bacterial origin"	"30/606"	"319/16992"	1.37481006647912e-06	0.000291397242726915	0.000232928346669979	"613/728/958/941/942/1053/129607/3576/1906/3148/3329/3569/3725/3965/11019/4258/64127/4851/5467/26191/5914/6622/7056/7079/7099/10333/7124/8784/27242/57539"	30
"M.APC.18h.1"	"GO:0002237"	"response to molecule of bacterial origin"	"25/674"	"319/16992"	0.000972676220813304	0.0241244508670166	0.020849710379156	"6347/4064/1524/2919/6374/6372/3576/1543/1906/355/3329/11213/3717/3965/10892/4208/64127/4851/5473/5617/5054/7035/7056/7096/27242"	25
"M.APC.24h.1"	"GO:0002237"	"response to molecule of bacterial origin"	"36/1115"	"319/16992"	0.00104093799181621	0.022153295723268	0.0194795413673209	"19/6868/728/929/4064/1604/942/1051/129607/1524/2919/58191/2920/3576/7855/2697/55970/3383/3553/11213/3965/10859/4360/64127/5027/57088/10594/5732/6556/6590/63826/7056/7097/8792/7133/27242"	36
"M.APC.24h.10"	"GO:0002237"	"response to molecule of bacterial origin"	"10/107"	"319/16992"	3.32036703310944e-05	0.00184431296111806	0.0015243503197457	"10333/8771/57162/29108/9536/942/5724/5027/958/2919"	10
"M.APC.24h.2"	"GO:0002237"	"response to molecule of bacterial origin"	"29/390"	"319/16992"	2.98216786716543e-10	2.38513786015891e-07	1.913610033499e-07	"730249/27063/654/728/6347/929/4064/942/1051/1524/2919/10563/58191/2920/6372/3576/4283/2706/3553/3725/5743/6556/7056/7097/7099/27242/10221/7412/57539"	29
"M.APC.24h.3"	"GO:0002237"	"response to molecule of bacterial origin"	"41/955"	"319/16992"	6.36777419377189e-07	5.32664311309019e-05	4.35131236574413e-05	"6868/654/728/6348/1236/929/4064/958/941/1051/1439/1906/2643/3248/3329/3586/10068/3569/3656/3394/3725/3965/11019/10892/4258/64127/4851/5473/639/5734/26191/6279/6556/6622/7035/7056/7079/7099/7124/8764/57539"	41
"M.APC.24h.5"	"GO:0002237"	"response to molecule of bacterial origin"	"42/833"	"319/16992"	5.18848710601852e-09	8.05674763431438e-07	6.32176192128046e-07	"133/654/728/6347/1236/4064/1604/941/1268/1524/10563/3576/4283/1906/2149/55970/57817/3383/3569/3656/3725/3726/23643/4790/64127/5724/5743/26191/6279/5054/6714/7056/148022/7096/10333/7124/7128/7133/7412/7494/80149/7538"	42
"M.APC.24h.6"	"GO:0002237"	"response to molecule of bacterial origin"	"20/447"	"319/16992"	0.000317984550972042	0.0138395847643719	0.0114539008454248	"19/128/929/948/942/6372/11221/2672/3587/3663/3965/23643/4792/64127/5027/5724/949/6590/7056/7538"	20
"M.APC.4h.2"	"GO:0002237"	"response to molecule of bacterial origin"	"7/58"	"319/16992"	0.000101805517576555	0.014595209201657	0.0123335679666908	"128/654/929/11221/4792/7056/7538"	7
"M.APC.5d.1"	"GO:0002237"	"response to molecule of bacterial origin"	"30/625"	"319/16992"	2.57321559923268e-06	0.000407264118892671	0.00033543951504035	"613/728/958/941/942/1053/129607/3576/1906/3148/3329/3569/3725/3965/11019/4258/64127/4851/5467/26191/6622/7035/7056/7079/7099/10333/7124/8784/27242/57539"	30
